cluster[object],x[int64],y[int64],cell[int64],center[object]
c1,64,100,1,N
c1,67,101,8,N
c1,70,92,14,N
c1,59,30,19,N
c1,59,67,20,N
c1,67,33,27,N
c1,59,27,34,N
c1,63,64,39,N
c1,67,18,42,N
c1,67,38,43,N
c1,67,79,45,N
c1,58,114,46,N
c1,61,126,50,N
c1,68,37,53,N
c1,67,108,56,N
c1,62,103,65,N
c1,62,76,68,N
c1,68,103,75,N
c1,67,27,84,N
c1,61,3,91,N
c1,60,125,94,N
c1,64,105,95,N
c1,69,38,98,N
c1,59,68,99,N
c1,68,11,100,N
c1,60,24,101,N
c1,57,89,113,N
c1,58,24,128,N
c1,64,99,130,N
c1,67,102,132,N
c1,63,103,134,N
c1,70,82,137,N
c1,61,122,140,N
c1,57,114,144,N
c1,67,95,159,N
c1,69,72,164,N
c1,59,126,167,N
c1,68,31,175,N
c1,68,78,176,N
c1,60,127,179,N
c1,58,107,180,N
c1,66,26,181,N
c1,60,69,186,N
c1,59,23,187,N
c1,70,69,188,N
c1,69,37,191,N
c1,66,79,194,N
c1,63,71,199,N
c1,63,89,202,N
c1,60,122,204,N
c1,69,11,206,N
c1,69,124,207,N
c1,65,105,214,N
c1,60,26,215,N
c1,58,26,220,N
c1,61,74,224,N
c1,59,45,227,N
c1,60,14,233,N
c1,64,18,238,N
c1,68,121,252,N
c1,66,105,255,N
c1,60,114,258,N
c1,65,52,260,N
c1,69,96,263,N
c1,57,38,265,N
c1,65,96,269,N
c1,68,23,271,N
c1,66,25,275,N
c1,62,121,276,N
c1,68,81,283,N
c1,64,102,284,N
c1,61,124,285,N
c1,63,53,287,N
c1,59,115,296,N
c1,66,47,297,N
c1,63,32,298,N
c1,69,10,305,N
c1,60,117,314,N
c1,70,53,315,N
c1,69,12,316,N
c1,68,63,321,N
c1,57,116,325,N
c1,58,14,330,N
c1,69,53,332,N
c1,70,62,334,N
c1,61,13,341,N
c1,67,11,344,N
c1,63,124,354,N
c1,58,115,358,N
c1,69,76,359,N
c1,65,110,366,N
c1,62,90,367,N
c1,65,79,372,N
c1,63,54,373,N
c1,61,100,374,N
c1,69,97,375,N
c1,69,82,376,N
c1,64,79,377,N
c1,62,98,378,N
c1,68,45,379,N
c1,70,46,382,N
c1,63,3,385,N
c1,62,87,387,N
c1,66,104,393,N
c1,71,122,394,N
c1,67,105,403,N
c1,63,28,404,N
c1,62,58,406,N
c1,58,9,408,N
c1,60,68,411,N
c1,64,58,414,N
c1,66,53,416,N
c1,68,25,419,N
c1,71,53,422,N
c1,59,26,431,N
c1,68,101,437,N
c1,58,68,459,N
c1,66,32,464,N
c1,66,101,466,N
c1,66,39,471,N
c1,67,93,474,N
c1,60,126,478,N
c1,65,48,479,N
c1,66,107,481,N
c1,64,101,483,N
c1,67,104,486,N
c1,70,9,488,N
c1,68,61,489,N
c1,71,63,491,N
c1,66,94,492,N
c1,57,68,500,N
c1,61,123,507,N
c1,57,9,512,N
c1,66,33,518,N
c1,69,9,529,N
c1,70,116,530,N
c1,72,63,532,N
c1,74,63,535,N
c1,70,81,538,N
c1,68,79,541,N
c1,73,61,543,N
c1,71,61,547,N
c1,67,78,551,N
c1,62,28,552,N
c1,62,0,560,N
c1,70,72,561,N
c1,72,59,566,N
c1,62,123,568,N
c1,73,62,569,N
c1,73,60,571,N
c1,73,63,572,N
c1,61,63,574,N
c1,68,47,575,N
c1,74,55,579,N
c1,72,61,588,N
c1,62,6,591,N
c1,70,94,593,N
c1,62,26,595,N
c1,63,99,597,N
c1,61,47,600,N
c1,63,55,606,N
c1,61,121,607,N
c1,73,58,608,N
c1,61,82,609,N
c1,63,98,612,N
c1,60,108,618,N
c1,75,57,619,N
c1,75,61,621,N
c1,71,62,625,N
c1,59,127,628,N
c1,58,67,629,N
c1,67,12,630,N
c1,63,110,632,N
c1,68,46,633,N
c1,75,64,634,N
c1,61,16,635,N
c1,63,1,640,N
c1,72,91,642,N
c1,67,117,645,N
c1,73,65,647,N
c1,70,124,648,N
c1,60,67,649,N
c1,63,7,650,N
c1,63,2,653,N
c1,67,39,657,N
c1,63,27,663,N
c1,64,63,665,N
c1,74,59,668,N
c1,56,81,670,N
c1,68,106,674,N
c1,67,46,676,N
c1,56,90,682,N
c1,75,55,683,N
c1,67,96,684,N
c1,56,69,685,N
c1,68,100,687,N
c1,67,24,691,N
c1,69,32,694,N
c1,56,43,695,N
c1,65,7,697,N
c1,57,25,701,N
c1,65,19,707,N
c1,78,60,713,N
c1,75,58,714,N
c1,63,48,716,N
c1,62,77,722,N
c1,60,4,724,N
c1,71,8,729,N
c1,63,121,737,N
c1,71,69,738,N
c1,61,89,744,N
c1,62,104,745,N
c1,63,12,746,N
c1,74,65,747,N
c1,62,124,749,N
c1,56,89,751,N
c1,77,65,759,N
c1,63,122,760,N
c1,68,77,764,N
c1,57,43,773,N
c1,66,109,774,N
c1,68,80,778,N
c1,71,71,779,N
c1,62,15,780,N
c1,71,68,782,N
c1,63,17,787,N
c1,78,59,789,N
c1,70,97,799,N
c1,56,70,801,N
c1,58,45,802,N
c1,67,25,805,N
c1,76,57,809,N
c1,69,102,810,N
c1,69,120,813,N
c1,60,1,817,N
c1,53,76,818,N
c1,55,87,822,N
c1,62,72,824,N
c1,75,65,825,N
c1,72,62,829,N
c1,70,78,830,N
c1,57,44,833,N
c1,69,116,835,N
c1,63,101,840,N
c1,69,121,841,N
c1,60,23,844,N
c1,71,32,848,N
c1,68,18,854,N
c1,54,83,856,N
c1,62,2,857,N
c1,68,12,861,N
c1,76,62,867,N
c1,53,77,868,N
c1,50,119,872,N
c1,62,102,873,N
c1,77,59,875,N
c1,62,73,876,N
c1,83,65,878,N
c1,74,60,879,N
c1,54,124,880,N
c1,75,63,887,N
c1,56,80,888,N
c1,55,67,889,N
c1,54,123,891,N
c1,53,119,894,N
c1,53,118,900,N
c1,53,122,901,N
c1,54,122,902,N
c1,69,61,903,N
c1,61,115,909,N
c1,51,76,911,N
c1,69,117,912,N
c1,54,120,913,N
c1,70,102,915,N
c1,54,121,916,N
c1,71,70,917,N
c1,58,27,918,N
c1,58,29,926,N
c1,78,57,927,N
c1,55,123,930,N
c1,55,122,934,N
c1,77,60,939,N
c1,53,121,943,N
c1,54,117,945,N
c1,57,45,950,N
c1,53,81,953,N
c1,54,125,955,N
c1,54,116,959,N
c1,55,125,961,N
c1,73,67,962,N
c1,52,115,966,N
c1,74,47,967,N
c1,52,114,970,N
c1,63,19,973,N
c1,61,118,974,N
c1,56,115,978,N
c1,58,46,980,N
c1,57,14,982,N
c1,59,69,983,N
c1,53,115,984,N
c1,53,125,985,N
c1,55,76,988,N
c1,51,114,989,N
c1,50,113,993,N
c1,55,117,997,N
c1,73,47,1001,N
c1,60,113,1002,N
c1,52,79,1004,N
c1,55,116,1005,N
c1,54,90,1006,N
c1,69,81,1007,N
c1,51,118,1009,N
c1,56,38,1010,N
c1,57,115,1013,N
c1,49,114,1018,N
c1,55,119,1020,N
c1,53,114,1021,N
c1,54,0,1025,N
c1,53,75,1029,N
c1,55,7,1036,N
c1,52,121,1041,N
c1,54,5,1042,N
c1,65,30,1043,N
c1,54,126,1045,N
c1,55,115,1047,N
c1,60,2,1048,N
c1,54,63,1049,N
c1,71,92,1052,N
c1,65,12,1055,N
c1,66,93,1056,N
c1,59,109,1057,N
c1,53,3,1058,N
c1,54,4,1059,N
c1,54,118,1062,N
c1,51,112,1063,N
c1,53,9,1064,N
c1,55,127,1071,N
c1,49,75,1073,N
c1,53,4,1074,N
c1,59,25,1075,N
c1,55,6,1076,N
c1,52,126,1077,N
c1,59,107,1079,N
c1,54,8,1081,N
c1,53,127,1082,N
c1,54,9,1083,N
c1,53,113,1085,N
c1,62,120,1086,N
c1,55,2,1088,N
c1,51,116,1089,N
c1,51,111,1093,N
c1,55,66,1094,N
c1,55,8,1095,N
c1,53,7,1096,N
c1,53,68,1098,N
c1,55,4,1100,N
c1,50,111,1101,N
c1,53,126,1103,N
c1,55,5,1104,N
c1,53,0,1105,N
c1,48,109,1109,N
c1,68,104,1110,N
c1,51,115,1113,N
c1,74,64,1115,N
c1,59,14,1116,N
c1,71,31,1117,N
c1,52,7,1119,N
c1,53,11,1121,N
c1,52,112,1124,N
c1,55,10,1125,N
c1,52,111,1127,N
c1,52,116,1128,N
c1,53,1,1131,N
c1,54,2,1133,N
c1,52,6,1134,N
c1,52,119,1139,N
c1,54,11,1142,N
c1,53,10,1143,N
c1,49,108,1144,N
c1,51,110,1146,N
c1,56,116,1147,N
c1,53,123,1148,N
c1,56,9,1149,N
c1,57,78,1151,N
c1,54,62,1156,N
c1,51,123,1157,N
c1,50,110,1159,N
c1,76,65,1160,N
c1,60,46,1161,N
c1,53,8,1162,N
c1,54,13,1163,N
c1,66,27,1165,N
c1,58,127,1167,N
c1,70,80,1169,N
c1,61,14,1171,N
c1,53,120,1176,N
c1,52,113,1177,N
c1,57,112,1178,N
c1,54,14,1179,N
c1,60,27,1180,N
c1,55,11,1181,N
c1,49,107,1182,N
c1,53,5,1188,N
c1,52,5,1189,N
c1,62,52,1190,N
c1,50,64,1192,N
c1,52,9,1195,N
c1,80,58,1197,N
c1,51,7,1202,N
c1,52,8,1203,N
c1,50,123,1204,N
c1,53,2,1206,N
c1,63,26,1207,N
c1,52,122,1208,N
c1,58,28,1210,N
c1,53,117,1213,N
c1,71,91,1214,N
c1,67,107,1215,N
c1,64,32,1217,N
c1,51,121,1218,N
c1,50,118,1221,N
c1,59,80,1222,N
c1,61,2,1224,N
c1,55,3,1225,N
c1,50,109,1230,N
c1,79,59,1233,N
c1,77,64,1236,N
c1,54,78,1237,N
c1,69,104,1238,N
c1,50,124,1239,N
c1,52,2,1240,N
c1,69,115,1241,N
c1,55,59,1246,N
c1,51,4,1247,N
c1,52,3,1248,N
c1,78,56,1249,N
c1,58,89,1250,N
c1,66,11,1251,N
c1,68,102,1252,N
c1,76,61,1254,N
c1,53,13,1256,N
c1,68,62,1257,N
c1,52,11,1259,N
c1,82,59,1261,N
c1,59,33,1262,N
c1,52,4,1263,N
c1,69,69,1265,N
c1,64,124,1267,N
c1,51,6,1271,N
c1,50,122,1272,N
c1,74,56,1276,N
c1,52,14,1277,N
c1,82,66,1278,N
c1,72,48,1279,N
c1,51,5,1281,N
c1,69,47,1282,N
c1,50,105,1287,N
c1,75,56,1288,N
c1,54,16,1289,N
c1,60,81,1290,N
c1,77,56,1294,N
c1,51,108,1297,N
c1,47,104,1300,N
c1,63,73,1302,N
c1,51,74,1303,N
c1,74,51,1304,N
c1,53,15,1306,N
c1,62,63,1307,N
c1,70,70,1308,N
c1,77,55,1310,N
c1,78,53,1316,N
c1,61,97,1317,N
c1,52,12,1318,N
c1,51,127,1320,N
c1,80,55,1324,N
c1,50,117,1325,N
c1,48,79,1326,N
c1,56,117,1327,N
c1,53,17,1328,N
c1,50,114,1329,N
c1,51,1,1330,N
c1,51,12,1331,N
c1,71,123,1333,N
c1,71,7,1334,N
c1,68,126,1335,N
c1,55,120,1336,N
c1,77,63,1337,N
c1,52,81,1338,N
c1,51,13,1339,N
c1,66,18,1342,N
c1,74,45,1344,N
c1,51,9,1349,N
c1,50,104,1351,N
c1,51,10,1353,N
c1,68,94,1354,N
c1,52,15,1355,N
c1,79,49,1357,N
c1,49,116,1359,N
c1,53,19,1361,N
c1,50,120,1362,N
c1,54,74,1365,N
c1,49,111,1371,N
c1,49,103,1372,N
c1,61,120,1373,N
c1,52,21,1375,N
c1,53,124,1379,N
c1,64,73,1383,N
c1,53,112,1385,N
c1,52,0,1386,N
c1,54,18,1387,N
c1,59,13,1388,N
c1,53,20,1391,N
c1,72,70,1392,N
c1,66,106,1393,N
c1,54,119,1396,N
c1,49,115,1402,N
c1,52,127,1403,N
c1,70,64,1404,N
c1,75,49,1405,N
c1,54,3,1407,N
c1,53,12,1408,N
c1,70,47,1412,N
c1,49,104,1414,N
c1,68,39,1416,N
c1,46,102,1418,N
c1,51,14,1420,N
c1,54,19,1421,N
c1,54,7,1422,N
c1,51,22,1423,N
c1,55,19,1425,N
c1,57,37,1426,N
c1,52,16,1427,N
c1,72,52,1428,N
c1,50,7,1429,N
c1,54,113,1432,N
c1,55,114,1434,N
c1,69,126,1436,N
c1,76,60,1438,N
c1,61,127,1439,N
c1,78,46,1440,N
c1,50,13,1441,N
c1,50,4,1442,N
c1,54,20,1443,N
c1,75,68,1445,N
c1,53,16,1446,N
c1,49,121,1447,N
c1,50,3,1448,N
c1,51,23,1449,N
c1,49,102,1452,N
c1,53,71,1454,N
c1,68,105,1456,N
c1,52,22,1457,N
c1,75,48,1458,N
c1,50,6,1459,N
c1,82,58,1460,N
c1,63,123,1461,N
c1,80,52,1462,N
c1,52,13,1463,N
c1,48,102,1464,N
c1,45,103,1467,N
c1,48,111,1468,N
c1,68,96,1469,N
c1,62,50,1471,N
c1,78,68,1472,N
c1,53,69,1475,N
c1,50,103,1477,N
c1,75,62,1478,N
c1,73,48,1480,N
c1,50,11,1481,N
c1,48,116,1482,N
c1,50,9,1483,N
c1,77,53,1489,N
c1,51,11,1490,N
c1,66,96,1493,N
c1,79,62,1494,N
c1,52,109,1497,N
c1,51,8,1500,N
c1,54,15,1501,N
c1,74,68,1503,N
c1,60,116,1505,N
c1,50,10,1506,N
c1,70,34,1508,N
c1,64,103,1510,N
c1,52,70,1512,N
c1,51,106,1513,N
c1,66,95,1514,N
c1,71,9,1517,N
c1,68,52,1519,N
c1,55,20,1520,N
c1,49,10,1521,N
c1,70,71,1522,N
c1,53,109,1525,N
c1,51,25,1526,N
c1,47,102,1527,N
c1,53,66,1528,N
c1,53,6,1529,N
c1,59,116,1536,N
c1,52,24,1537,N
c1,51,70,1538,N
c1,43,100,1542,N
c1,52,17,1544,N
c1,73,69,1547,N
c1,63,16,1549,N
c1,78,45,1551,N
c1,71,64,1552,N
c1,50,14,1554,N
c1,60,109,1555,N
c1,76,64,1556,N
c1,51,126,1558,N
c1,50,23,1559,N
c1,67,77,1561,N
c1,52,108,1562,N
c1,50,5,1563,N
c1,50,65,1565,N
c1,51,20,1570,N
c1,73,68,1574,N
c1,55,15,1575,N
c1,49,4,1576,N
c1,74,58,1579,N
c1,48,123,1580,N
c1,61,81,1581,N
c1,55,17,1583,N
c1,80,50,1584,N
c1,51,105,1589,N
c1,53,111,1590,N
c1,54,114,1592,N
c1,48,118,1595,N
c1,69,70,1596,N
c1,79,43,1599,N
c1,54,22,1602,N
c1,74,67,1603,N
c1,55,75,1604,N
c1,52,125,1606,N
c1,56,15,1611,N
c1,50,107,1613,N
c1,55,21,1618,N
c1,68,108,1619,N
c1,64,97,1620,N
c1,49,1,1623,N
c1,52,123,1626,N
c1,74,52,1628,N
c1,52,18,1629,N
