reaction[object],energy [kJ][int64]
1 NADPH $\rightleftharpoons$ 1 NADP,-70
1 ATP $\rightleftharpoons$ 1 ADP,-35
2 ADP + 1 E $\rightleftharpoons$ 2 ATP,-80
1 E + 1 NADP $\rightleftharpoons$ 1 NADPH,-80
1 G3P $\rightleftharpoons$ 8 X,-20
1 pyruvate $\rightleftharpoons$ 6 X,-30
1 acetyl-CoA $\rightleftharpoons$ 1 HS-CoA + 5 X,-35
1 CO2 + 1 RuBP $\rightleftharpoons$ 2 3PGA,-35
"1 3PGA + 1 ATP $\rightleftharpoons$ 1 1,3BPG + 1 ADP",-15
"1 1,3BPG + 1 NADPH $\rightleftharpoons$ 1 G3P + 1 NADP",-20
5 G3P $\rightleftharpoons$ 3 Ru5P,-15
1 ATP + 1 Ru5P $\rightleftharpoons$ 1 ADP + 1 RuBP,-5
1 CO2 + 1 NADPH $\rightleftharpoons$ 1 NADP + 1 formate,-10
1 FH4 + 1 formate $\rightleftharpoons$ 1 formyl-FH4,25
1 NADPH + 1 formyl-FH4 $\rightleftharpoons$ 1 NADP + 1 methylen-FH4,-10
1 NADPH + 1 methylen-FH4 $\rightleftharpoons$ 1 NADP + 1 methyl-FH4,-15
1 CO2 + 1 NADPH $\rightleftharpoons$ 1 CO + 1 NADP,-5
1 CO + 1 HS-CoA + 1 methyl-FH4 $\rightleftharpoons$ 1 FH4 + 1 acetyl-CoA,0
1 CO2 + 1 acetyl-CoA $\rightleftharpoons$ 1 malonyl-CoA,10
3 NADPH + 1 malonyl-CoA $\rightleftharpoons$ 3 NADP + 1 propionyl-CoA,-30
1 CO2 + 1 propionyl-CoA $\rightleftharpoons$ 1 methylmalonyl-CoA,0
1 methylmalonyl-CoA $\rightleftharpoons$ 1 succinyl-CoA,0
1 succinyl-CoA $\rightleftharpoons$ 1 HS-CoA + 1 succinate,-10
1 NADP + 1 succinate $\rightleftharpoons$ 1 NADPH + 1 fumarate,0
1 fumarate $\rightleftharpoons$ 1 malate,0
1 HS-CoA + 1 malate $\rightleftharpoons$ 1 malyl-CoA,10
1 malyl-CoA $\rightleftharpoons$ 1 acetyl-CoA + 1 glyoxylate,0
1 glyoxylate + 1 propionyl-CoA $\rightleftharpoons$ 1 methylmalyl-CoA,-5
1 methylmalyl-CoA $\rightleftharpoons$ 1 citramalyl-CoA,0
1 citramalyl-CoA $\rightleftharpoons$ 1 acetyl-CoA + 1 pyruvate,-5
1 NADPH + 1 oxalacetate $\rightleftharpoons$ 1 NADP + 1 malate,-5
1 malate $\rightleftharpoons$ 1 fumarate,0
1 NADPH + 1 fumarate $\rightleftharpoons$ 1 NADP + 1 succinate,0
1 HS-CoA + 1 succinate $\rightleftharpoons$ 1 succinyl-CoA,10
1 CO2 + 1 NADPH + 1 succinyl-CoA $\rightleftharpoons$ 1 HS-CoA + 1 NADP + 1 alpha-ketoglutarate,-35
1 CO2 + 1 NADPH + 1 alpha-ketoglutarate $\rightleftharpoons$ 1 NADP + 1 isocitrate,-20
1 isocitrate $\rightleftharpoons$ 1 citrate,0
1 HS-CoA + 1 citrate $\rightleftharpoons$ 1 acetyl-CoA + 1 oxalacetate,35
1 CO2 + 1 NADPH + 1 acetyl-CoA $\rightleftharpoons$ 1 HS-CoA + 1 NADP + 1 pyruvate,-35
1 ATP + 1 pyruvate $\rightleftharpoons$ 1 ADP + 1 PEP,-15
1 CO2 + 1 PEP $\rightleftharpoons$ 1 oxalacetate,-10
1 NADPH + 1 succinyl-CoA $\rightleftharpoons$ 1 HS-CoA + 1 NADP + 1 SSA,-30
1 NADPH + 1 SSA $\rightleftharpoons$ 1 GHB + 1 NADP,-5
1 GHB + 1 HS-CoA $\rightleftharpoons$ 1 hydroxybutyryl-CoA,35
1 NADP + 1 hydroxybutyryl-CoA $\rightleftharpoons$ 1 NADPH + 1 acetoacetyl-CoA,5
1 HS-CoA + 1 acetoacetyl-CoA $\rightleftharpoons$ 2 acetyl-CoA,0
