label[object],x[int64],y[int64]
other,118,56
other,6,90
other,21,116
other,74,15
other,97,60
other,70,17
other,75,0
other,93,61
other,12,50
other,8,19
c0,101,110
other,79,82
other,22,62
other,10,9
other,115,91
other,56,1
other,55,121
other,105,113
c1,66,12
other,74,38
other,74,16
other,23,20
other,81,89
other,114,57
other,78,29
other,77,44
other,19,70
other,34,19
c2,108,19
other,123,40
other,57,105
other,16,112
other,108,101
other,81,103
other,65,0
c2,68,108
other,78,3
c20,87,4
other,2,13
other,101,45
c3,68,78
other,27,42
other,3,22
other,28,17
other,0,121
other,99,95
other,5,2
other,31,22
other,121,71
other,97,9
other,63,39
other,60,7
other,118,66
c2,58,78
other,12,40
other,2,57
other,61,30
other,69,10
other,14,60
other,78,86
other,119,45
other,115,125
other,89,122
other,46,9
other,69,40
other,97,6
other,33,121
other,8,48
other,111,58
c4,61,60
other,83,34
other,19,6
other,83,65
other,51,26
other,126,22
other,87,96
other,33,44
other,93,1
other,10,97
other,97,23
other,106,88
other,38,83
other,77,57
other,22,76
other,74,67
other,66,114
other,23,61
other,30,29
other,64,109
c5,58,63
other,125,66
other,120,75
c53,44,59
other,92,45
other,40,113
other,43,95
other,42,22
other,44,3
other,83,45
other,5,112
c0,8,35
c6,19,50
other,86,80
other,87,38
other,65,13
other,47,15
other,2,19
c62,46,48
other,97,15
other,118,3
c7,40,83
other,26,60
other,24,5
other,6,24
other,96,102
other,115,95
other,41,15
other,76,2
other,43,50
other,61,2
other,73,60
other,112,73
other,105,103
other,105,108
other,112,100
other,39,27
c75,92,9
other,57,51
other,65,100
other,99,78
other,8,30
other,29,54
other,62,17
other,47,92
other,127,92
other,45,119
other,93,98
other,35,11
other,66,74
other,95,93
other,108,51
other,110,85
other,94,108
other,21,58
other,28,1
other,22,127
other,62,101
c8,16,88
other,119,110
other,82,39
other,35,92
c9,101,90
other,8,93
c54,101,18
c2,91,64
other,26,74
other,111,61
other,30,96
other,88,31
other,41,104
other,81,123
c2,64,12
other,25,43
other,87,63
c30,111,5
other,53,31
other,11,8
other,16,75
other,112,23
other,33,59
c2,75,61
c16,7,16
other,68,56
c2,31,48
other,14,97
other,13,36
other,56,54
c2,34,4
other,87,7
other,54,14
c10,28,111
other,78,107
other,118,78
other,98,13
c68,15,62
other,88,97
other,45,60
other,113,75
other,44,75
other,49,98
other,32,112
other,95,99
other,118,24
other,23,118
other,3,21
other,23,2
other,97,24
c0,105,8
other,23,73
other,71,13
other,21,80
other,16,123
other,117,98
other,11,96
other,114,69
other,1,102
other,109,29
other,56,2
c34,117,62
other,84,123
other,87,43
other,37,14
c6,116,33
other,30,51
other,4,90
other,80,103
other,37,48
other,121,93
c11,26,115
c0,54,84
other,76,6
other,10,116
other,76,44
other,72,44
c0,52,100
other,69,20
other,93,72
other,27,111
other,6,89
other,26,100
other,53,105
other,45,54
other,10,90
other,86,33
other,8,8
other,120,62
c0,37,35
c2,88,93
other,110,53
other,121,91
other,67,84
c12,119,102
other,29,81
c46,67,30
other,11,20
other,91,7
other,61,55
other,60,62
other,14,70
other,77,61
other,96,15
other,43,48
other,68,22
other,42,39
other,4,89
other,76,48
other,65,82
other,80,69
other,79,91
c2,102,106
other,104,36
other,121,92
other,33,88
other,42,120
other,12,82
other,52,116
other,6,57
other,25,21
other,117,44
c2,55,23
c0,34,63
other,57,100
other,113,116
other,100,109
other,45,116
other,41,34
other,44,12
other,97,65
other,95,91
other,91,11
other,66,80
c2,22,111
other,115,21
other,49,43
other,78,28
other,79,43
c13,84,106
other,58,120
other,50,17
other,116,4
other,48,90
other,31,61
other,51,22
other,75,53
c57,115,41
c14,78,126
other,79,49
other,49,122
other,86,54
other,7,41
other,100,118
other,107,47
other,26,64
other,59,45
other,6,126
other,0,49
other,56,51
other,104,50
other,33,81
other,112,12
other,31,37
other,56,12
other,99,39
other,107,105
other,74,51
other,115,84
other,43,110
c0,125,99
other,35,29
other,34,126
other,22,20
other,85,66
other,127,86
other,111,84
other,64,47
other,29,41
other,81,7
